"Confirmed date","Country","HPAI strain","WOAH Classification","Cases"
2021-12-17,"Hungary","H5N1","Farm",2
2021-12-17,"Germany","H5N1","Farm",1
2021-12-17,"Germany","H5N1","Wild birds",17
2021-12-17,"France","H5N1","Farm",1
2021-12-17,"Denmark","H5N1","Wild birds",1
2021-12-17,"The Netherlands","H5","Farm",1
2021-12-17,"Bulgaria","H5","Farm",1
2021-12-18,"Poland","H5N1","Farm",1
2021-12-18,"Italy","H5N1","Farm",3
2021-12-18,"Italy","H5N1","Wild birds",1
2021-12-18,"Ireland","H5N1","Farm",1
2021-12-18,"Germany","H5N1","Farm",1
2021-12-18,"France","H5N1","Farm",2
2021-12-19,"Italy","H5N1","Farm",1
2021-12-19,"Hungary","H5N1","Farm",4
2021-12-19,"Denmark","H5N1","Farm",1
2021-12-20,"The Netherlands","H5N1","Farm",1
2021-12-20,"Sweden","H5N1","Wild birds",1
2021-12-20,"Hungary","H5N1","Farm",3
2021-12-20,"Germany","H5N1","Wild birds",7
2021-12-20,"France","H5N1","Farm",3
2021-12-20,"Estonia","H5N1","Backyard",1
2021-12-20,"Austria","H5N1","Wild birds",2
2021-12-21,"The Netherlands","H5N1","Wild birds",15
2021-12-21,"Poland","H5N1","Farm",3
2021-12-21,"Northern Ireland","H5N1","Farm",1
2021-12-21,"Italy","H5N1","Backyard",1
2021-12-21,"Italy","H5N1","Farm",13
2021-12-21,"Italy","H5","Farm",1
2021-12-21,"Italy","H5N1","Wild birds",1
2021-12-21,"Hungary","H5N1","Farm",4
2021-12-21,"Germany","H5N1","Farm",1
2021-12-21,"Germany","H5N1","Wild birds",1
2021-12-21,"Czech Republic","H5N1","Backyard",1
2021-12-21,"Czech Republic","H5N1","Wild birds",1
2021-12-21,"Croatia","H5N1","Wild birds",2
2021-12-21,"Belgium","H5N1","Wild birds",1
2021-12-22,"The Netherlands","H5N1","Wild birds",6
2021-12-22,"Poland","H5N1","Farm",1
2021-12-22,"Poland","H5N1","Wild birds",1
2021-12-22,"Italy","H5N1","Farm",7
2021-12-22,"Italy","H5N1","Wild birds",1
2021-12-22,"Hungary","H5N1","Farm",5
2021-12-22,"Germany","H5N1","Farm",1
2021-12-22,"Germany","H5N1","Wild birds",14
2021-12-22,"France","H5N1","Farm",2
2021-12-22,"Denmark","H5N1","Wild birds",1
2021-12-22,"Czech Republic","H5N1","Farm",1
2021-12-22,"Belgium","H5N1","Wild birds",1
2021-12-22,"Austria","H5N1","Wild birds",1
2021-12-23,"Portugal","H5N1","Farm",1
2021-12-23,"Poland","H5N1","Farm",1
2021-12-23,"Poland","H5N1","Wild birds",1
2021-12-23,"Italy","H5N1","Farm",3
2021-12-23,"Ireland","H5N1","Wild birds",1
2021-12-23,"Hungary","H5N1","Backyard",1
2021-12-23,"Hungary","H5N1","Farm",1
2021-12-23,"Germany","H5N1","Farm",1
2021-12-23,"Germany","H5N1","Wild birds",6
2021-12-23,"France","H5N1","Farm",1
2021-12-23,"Belgium","H5N1","Wild birds",3
2021-12-24,"The Netherlands","H5N1","Wild birds",1
2021-12-24,"Poland","H5N1","Farm",2
2021-12-24,"Poland","H5N1","Wild birds",1
2021-12-24,"Italy","H5N1","Backyard",1
2021-12-24,"Italy","H5N1","Farm",8
2021-12-24,"Hungary","H5N1","Farm",4
2021-12-24,"Germany","H5N1","Farm",1
2021-12-24,"France","H5N1","Wild birds",1
2021-12-25,"The Netherlands","H5N1","Wild birds",22
2021-12-25,"Hungary","H5N1","Farm",1
2021-12-26,"Poland","H5N1","Farm",3
2021-12-26,"Italy","H5N1","Farm",1
2021-12-26,"Hungary","H5N1","Farm",6
2021-12-26,"Germany","H5N1","Farm",1
2021-12-26,"France","H5N1","Farm",6
2021-12-26,"Czech Republic","H5N1","Farm",1
2021-12-27,"Slovenia","H5N1","Backyard",1
2021-12-27,"Slovakia","H5N1","Wild birds",2
2021-12-27,"Italy","H5N1","Farm",4
2021-12-27,"Italy","H5","Farm",1
2021-12-27,"Hungary","H5N1","Farm",1
2021-12-27,"Germany","H5N1","Wild birds",7
2021-12-27,"Czech Republic","H5N1","Wild birds",1
2021-12-28,"Sweden","H5N1","Farm",1
2021-12-28,"Slovenia","H5N1","Wild birds",1
2021-12-28,"Slovakia","H5N1","Backyard",1
2021-12-28,"Poland","H5N1","Farm",5
2021-12-28,"Hungary","H5N1","Farm",6
2021-12-28,"Germany","H5N1","Farm",2
2021-12-28,"Germany","H5N1","Wild birds",3
2021-12-28,"Belgium","H5N1","Farm",1
2021-12-28,"Belgium","H5N1","Wild birds",1
2021-12-29,"Sweden","H5N1","Captive birds",1
2021-12-29,"Sweden","H5N1","Wild birds",3
2021-12-29,"Slovenia","H5N1","Wild birds",2
2021-12-29,"Slovakia","H5N1","Backyard",1
2021-12-29,"Italy","H5N1","Farm",4
2021-12-29,"Italy","H5N1","Wild birds",1
2021-12-29,"Hungary","H5N1","Backyard",2
2021-12-29,"Hungary","H5N1","Farm",5
2021-12-29,"Germany","H5N1","Wild birds",50
2021-12-29,"France","H5N1","Farm",3
2021-12-30,"Denmark","H5N8","Wild birds",1
2021-12-30,"Denmark","H5N1","Wild birds",2
2021-12-30,"Slovenia","H5N1","Wild birds",5
2021-12-30,"Portugal","H5N1","Farm",1
2021-12-30,"Poland","H5N1","Farm",2
2021-12-30,"Poland","H5N1","Wild birds",1
2021-12-30,"Italy","H5N1","Wild birds",1
2021-12-30,"Hungary","H5N1","Farm",1
2021-12-30,"Hungary","H5N1","Wild birds",1
2021-12-30,"Germany","H5N1","Farm",2
2021-12-30,"Germany","H5N1","Wild birds",4
2021-12-30,"France","H5N1","Farm",4
2021-12-30,"France","H5N1","Wild birds",3
2021-12-30,"Austria","H5N1","Captive birds",1
2021-12-30,"Austria","H5N1","Wild birds",1
2021-12-30,"France","H5","Wild birds",1
2021-12-30,"Bulgaria","H5","Farm",1
2021-12-31,"Poland","H5N1","Farm",1
2021-12-31,"Italy","H5N1","Captive birds",1
2021-12-31,"Italy","H5N1","Farm",4
2021-12-31,"Hungary","H5N1","Farm",2
2021-12-31,"Germany","H5N1","Captive birds",1
2021-12-31,"Germany","H5N1","Farm",4
2021-12-31,"Germany","H5N1","Wild birds",1
2021-12-31,"France","H5N1","Farm",2
2021-12-31,"France","H5N1","Wild birds",3
2021-12-31,"Denmark","H5N1","Backyard",1
2021-12-31,"Bulgaria","H5","Wild birds",1
2022-01-01,"Serbia","H5N1","Wild birds",1
2022-01-01,"Germany","H5N1","Wild birds",3
2022-01-01,"Denmark","H5N1","Farm",1
2022-01-02,"Poland","H5N1","Farm",2
2022-01-02,"Hungary","H5N1","Backyard",1
2022-01-02,"Hungary","H5N1","Farm",5
2022-01-02,"Hungary","H5N1","Wild birds",2
2022-01-02,"France","H5N1","Farm",4
2022-01-03,"Romania","H5","Wild birds",1
2022-01-03,"Sweden","H5N1","Wild birds",5
2022-01-03,"Slovenia","H5N1","Wild birds",2
2022-01-03,"Portugal","H5N1","Captive birds",1
2022-01-03,"Poland","H5N1","Wild birds",1
2022-01-03,"Luxembourg","H5N1","Wild birds",1
2022-01-03,"Germany","H5N1","Wild birds",6
2022-01-03,"France","H5N1","Farm",6
2022-01-03,"Denmark","H5N1","Farm",1
2022-01-04,"Italy","H5","Farm",4
2022-01-04,"The Netherlands","H5N1","Farm",1
2022-01-04,"The Netherlands","H5N1","Wild birds",16
2022-01-04,"Sweden","H5N1","Wild birds",1
2022-01-04,"Spain","H5N1","Wild birds",1
2022-01-04,"Slovakia","H5N1","Wild birds",2
2022-01-04,"Portugal","H5N1","Wild birds",1
2022-01-04,"Italy","H5N1","Farm",2
2022-01-04,"Hungary","H5N1","Captive birds",1
2022-01-04,"Hungary","H5N1","Farm",1
2022-01-04,"France","H5N1","Farm",4
2022-01-04,"Denmark","H5N1","Wild birds",9
2022-01-04,"Czech Republic","H5N1","Backyard",2
2022-01-04,"Croatia","H5N1","Captive birds",2
2022-01-04,"Austria","H5N1","Wild birds",1
2022-01-05,"Italy","H5","Farm",1
2022-01-05,"The Netherlands","H5N1","Farm",1
2022-01-05,"Slovenia","H5N1","Wild birds",5
2022-01-05,"Poland","H5N1","Farm",1
2022-01-05,"Poland","H5N1","Wild birds",3
2022-01-05,"Hungary","H5N1","Farm",2
2022-01-05,"Germany","H5N1","Farm",2
2022-01-05,"Germany","H5N1","Wild birds",2
2022-01-05,"France","H5N1","Captive birds",1
2022-01-05,"France","H5N1","Farm",8
2022-01-05,"Denmark","H5N1","Wild birds",1
2022-01-05,"Czech Republic","H5N1","Farm",1
2022-01-05,"Croatia","H5N1","Captive birds",1
2022-01-05,"Austria","H5N1","Wild birds",1
2022-01-06,"Slovenia","H5N1","Wild birds",3
2022-01-06,"Poland","H5N1","Farm",1
2022-01-06,"Poland","H5N1","Wild birds",1
2022-01-06,"Hungary","H5N1","Farm",1
2022-01-06,"Hungary","H5N1","Wild birds",1
2022-01-06,"Germany","H5N1","Captive birds",1
2022-01-06,"Germany","H5N1","Farm",1
2022-01-06,"Germany","H5N1","Wild birds",31
2022-01-06,"France","H5N1","Farm",8
2022-01-06,"Belgium","H5N1","Wild birds",1
2022-01-07,"Germany","H5","Wild birds",1
2022-01-07,"Denmark","H5N8","Farm",1
2022-01-07,"Sweden","H5N1","Wild birds",1
2022-01-07,"Slovenia","H5N1","Wild birds",2
2022-01-07,"Slovakia","H5N1","Wild birds",1
2022-01-07,"Romania","H5N1","Wild birds",1
2022-01-07,"Ireland","H5N1","Wild birds",1
2022-01-07,"Hungary","H5N1","Farm",1
