"Confirmed date","Country","Lat","Long","HPAI strain","WOAH Classification","Cases"
2021-12-09,"Germany",51.165691,10.451526,"H5N1","Wild birds","6"
2021-12-10,"Poland",51.9194,19.1451,"H5N1","Farm","1"
2021-12-10,"Italy",41.87194,12.56738,"H5N1","Backyard","1"
2021-12-10,"Italy",41.87194,12.56738,"H5N1","Farm","8"
2021-12-10,"Hungary",47.1625,19.5033,"H5N1","Farm","2"
2021-12-10,"Germany",51.165691,10.451526,"H5N1","Wild birds","1"
2021-12-10,"France",46.2276,2.2137,"H5N1","Farm","1"
2021-12-10,"France",46.2276,2.2137,"H5N1","Wild birds","1"
2021-12-11,"Italy",41.87194,12.56738,"H5N1","Farm","6"
2021-12-11,"Germany",51.165691,10.451526,"H5N1","Farm","1"
2021-12-12,"Poland",51.9194,19.1451,"H5N1","Farm","1"
2021-12-12,"Poland",51.9194,19.1451,"H5N1","Wild birds","1"
2021-12-12,"Italy",41.87194,12.56738,"H5N1","Farm","2"
2021-12-12,"Italy",41.87194,12.56738,"H5N1","Wild birds","1"
2021-12-12,"Ireland",53.1424,-7.6921,"H5N1","Farm","1"
2021-12-12,"Hungary",47.1625,19.5033,"H5N1","Farm","1"
2021-12-12,"Germany",51.165691,10.451526,"H5N1","Farm","1"
2021-12-12,"Germany",51.165691,10.451526,"H5N1","Wild birds","1"
2021-12-12,"Ukraine",48.3794,31.1656,"H5","Captive birds","1"
2021-12-13,"The Netherlands",52.1326,5.2913,"H5N1","Captive birds","1"
2021-12-13,"The Netherlands",52.1326,5.2913,"H5N1","Wild birds","1"
2021-12-13,"Sweden",60.128161,18.643501,"H5N1","Farm","1"
2021-12-13,"Norway",60.472,8.4689,"H5N1","Wild birds","1"
2021-12-13,"Luxembourg",49.8153,6.1296,"H5N1","Wild birds","1"
2021-12-13,"Italy",41.87194,12.56738,"H5N1","Farm","3"
2021-12-13,"Hungary",47.1625,19.5033,"H5N1","Farm","2"
2021-12-13,"Germany",51.165691,10.451526,"H5N1","Wild birds","2"
2021-12-13,"Austria",47.5162,14.5501,"H5N1","Wild birds","2"
2021-12-13,"The Netherlands",52.1326,5.2913,"H5","Wild birds","7"
2021-12-14,"Poland",51.9194,19.1451,"H5N1","Farm","2"
2021-12-14,"Italy",41.87194,12.56738,"H5N1","Farm","16"
2021-12-14,"Hungary",47.1625,19.5033,"H5N1","Farm","1"
2021-12-14,"Italy",41.87194,12.56738,"H5","Wild birds","1"
2021-12-15,"Northern Ireland",53.1424,-7.6921,"H5N1","Wild birds","1"
2021-12-15,"Italy",41.87194,12.56738,"H5N1","Farm","8"
2021-12-15,"Hungary",47.1625,19.5033,"H5N1","Farm","3"
2021-12-15,"Hungary",47.1625,19.5033,"H5N1","Wild birds","1"
2021-12-15,"Germany",51.165691,10.451526,"H5N1","Farm","1"
2021-12-15,"Germany",51.165691,10.451526,"H5N1","Wild birds","4"
2021-12-15,"Austria",47.5162,14.5501,"H5N1","Wild birds","3"
2021-12-15,"The Netherlands",52.1326,5.2913,"H5","Wild birds","1"
2021-12-16,"Poland",51.9194,19.1451,"H5N1","Farm","1"
2021-12-16,"Northern Ireland",53.1424,-7.6921,"H5N1","Farm","2"
2021-12-16,"Italy",41.87194,12.56738,"H5N1","Farm","7"
2021-12-16,"Italy",41.87194,12.56738,"H5N1","Wild birds","1"
2021-12-16,"Ireland",53.1424,-7.6921,"H5N1","Wild birds","1"
2021-12-16,"Hungary",47.1625,19.5033,"H5N1","Farm","2"
2021-12-16,"Germany",51.165691,10.451526,"H5N1","Wild birds","6"
2021-12-16,"France",46.2276,2.2137,"H5N1","Captive birds","1"
2021-12-16,"France",46.2276,2.2137,"H5N1","Farm","2"
2021-12-16,"Denmark",56.2639,9.5018,"H5N1","Wild birds","1"
2021-12-16,"Czech Republic",49.8175,15.473,"H5N1","Backyard","1"
2021-12-16,"Belgium",50.8333,44.69936,"H5N1","Wild birds","2"
2021-12-17,"Sweden",60.128161,18.643501,"H5N1","Captive birds","1"
2021-12-17,"Sweden",60.128161,18.643501,"H5N1","Farm","1"
